Year CollectionDate Gene Subtype Syn Distance DivPerSite
2007 2007.137 1-PB2 H3N2 S 5 0.0087760108703194
2007 2006.797 1-PB2 H3N2 S 23 0.0403696500034692
2007 2007.449 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007.099 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.468 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007.175 1-PB2 H3N2 S 15 0.0263280326109582
2007 2007 1-PB2 H3N2 S 11 0.0193072239147027
2007 2007.43 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.477 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007.37 1-PB2 H3N2 S 8 0.014041617392511
2007 2007.06 1-PB2 H3N2 S 18 0.0315936391331498
2007 2007.115 1-PB2 H3N2 S 7 0.0122864152184472
2007 2007.468 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007 1-PB2 H3N2 S 0 0
2007 2007.112 1-PB2 H3N2 S 27 0.0473904586997248
2007 2007.195 1-PB2 H3N2 S 16 0.0280832347850221
2007 2007.118 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.178 1-PB2 H3N2 S 8 0.014041617392511
2007 2007.099 1-PB2 H3N2 S 0 0
2007 2007.477 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007.104 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.441 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007 1-PB2 H3N2 S 27 0.0473904586997248
2007 2007.104 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007 1-PB2 H3N2 S 25 0.043880054351597
2007 2007.164 1-PB2 H3N2 S 8 0.014041617392511
2007 2007.181 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.422 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007.468 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.299 1-PB2 H3N2 S 14 0.0245728304368943
2007 2006.877 1-PB2 H3N2 S 24 0.0421248521775331
2007 2007.375 1-PB2 H3N2 S 7 0.0122864152184472
2007 2007.104 1-PB2 H3N2 S 15 0.0263280326109582
2007 2007.466 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007.488 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.164 1-PB2 H3N2 S 12 0.0210624260887666
2007 2007.156 1-PB2 H3N2 S 4 0.00702080869625552
2007 2007.249 1-PB2 H3N2 S 5 0.0087760108703194
2007 2006.819 1-PB2 H3N2 S 23 0.0403696500034692
2007 2007.178 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007 1-PB2 H3N2 S 9 0.0157968195665749
2007 2007.23 1-PB2 H3N2 S 11 0.0193072239147027
2007 2007.441 1-PB2 H3N2 S 6 0.0105312130443833
2007 2007.019 1-PB2 H3N2 S 21 0.0368592456553415
2007 2006.896 1-PB2 H3N2 S 27 0.0473904586997248
2007 2007.23 1-PB2 H3N2 S 9 0.0157968195665749
2007 2007.153 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.184 1-PB2 H3N2 S 8 0.014041617392511
2007 2007.425 1-PB2 H3N2 S 5 0.0087760108703194
2007 2007.192 1-PB2 H3N2 S 16 0.0280832347850221
2008 2008.134 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008.153 1-PB2 H3N2 S 10 0.0175520217406388
2008 2007.605 1-PB2 H3N2 S 14 0.0245728304368943
2008 2008.066 1-PB2 H3N2 S 8 0.014041617392511
2008 2008.194 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008.117 1-PB2 H3N2 S 9 0.0157968195665749
2008 2008.131 1-PB2 H3N2 S 11 0.0193072239147027
2008 2007.863 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008 1-PB2 H3N2 S 12 0.0210624260887666
2008 2008.112 1-PB2 H3N2 S 10 0.0175520217406388
2008 2007.748 1-PB2 H3N2 S 25 0.043880054351597
2008 2007.677 1-PB2 H3N2 S 8 0.014041617392511
2008 2008.148 1-PB2 H3N2 S 9 0.0157968195665749
2008 2008.12 1-PB2 H3N2 S 13 0.0228176282628304
2008 2008.077 1-PB2 H3N2 S 9 0.0157968195665749
2008 2008.074 1-PB2 H3N2 S 12 0.0210624260887666
2008 2008.131 1-PB2 H3N2 S 9 0.0157968195665749
2008 2007.567 1-PB2 H3N2 S 11 0.0193072239147027
2008 2008.178 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008.139 1-PB2 H3N2 S 9 0.0157968195665749
2008 2007.636 1-PB2 H3N2 S 11 0.0193072239147027
2008 2007.847 1-PB2 H3N2 S 8 0.014041617392511
2008 2008.038 1-PB2 H3N2 S 8 0.014041617392511
2008 2008.148 1-PB2 H3N2 S 8 0.014041617392511
2008 2008.158 1-PB2 H3N2 S 14 0.0245728304368943
2008 2008.161 1-PB2 H3N2 S 9 0.0157968195665749
2008 2008 1-PB2 H3N2 S 13 0.0228176282628304
2008 2008.123 1-PB2 H3N2 S 9 0.0157968195665749
2008 2007.805 1-PB2 H3N2 S 9 0.0157968195665749
2008 2008.238 1-PB2 H3N2 S 11 0.0193072239147027
2008 2008.12 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008 1-PB2 H3N2 S 11 0.0193072239147027
2008 2008.139 1-PB2 H3N2 S 11 0.0193072239147027
2008 2007.501 1-PB2 H3N2 S 27 0.0473904586997248
2008 2008.074 1-PB2 H3N2 S 9 0.0157968195665749
2008 2008.131 1-PB2 H3N2 S 11 0.0193072239147027
2008 2008.12 1-PB2 H3N2 S 12 0.0210624260887666
2008 2008.134 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008.044 1-PB2 H3N2 S 8 0.014041617392511
2008 2008.027 1-PB2 H3N2 S 12 0.0210624260887666
2008 2008.055 1-PB2 H3N2 S 12 0.0210624260887666
2008 2008.117 1-PB2 H3N2 S 11 0.0193072239147027
2008 2008.175 1-PB2 H3N2 S 7 0.0122864152184472
2008 2007.953 1-PB2 H3N2 S 8 0.014041617392511
2008 2008.172 1-PB2 H3N2 S 11 0.0193072239147027
2008 2008 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008.134 1-PB2 H3N2 S 10 0.0175520217406388
2008 2008.358 1-PB2 H3N2 S 11 0.0193072239147027
2008 2008.139 1-PB2 H3N2 S 12 0.0210624260887666
2008 2008.025 1-PB2 H3N2 S 10 0.0175520217406388
2009 2008.803 1-PB2 H3N2 S 7 0.0122864152184472
2009 2009.318 1-PB2 H3N2 S 21 0.0368592456553415
2009 2009.32 1-PB2 H3N2 S 12 0.0210624260887666
2009 2009.323 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.32 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.323 1-PB2 H3N2 S 16 0.0280832347850221
2009 2009.331 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.414 1-PB2 H3N2 S 16 0.0280832347850221
2009 2009.342 1-PB2 H3N2 S 17 0.029838436959086
2009 2009.337 1-PB2 H3N2 S 12 0.0210624260887666
2009 2009.326 1-PB2 H3N2 S 17 0.029838436959086
2009 2009.326 1-PB2 H3N2 S 14 0.0245728304368943
2009 2009.312 1-PB2 H3N2 S 15 0.0263280326109582
2009 2008.899 1-PB2 H3N2 S 11 0.0193072239147027
2009 2008.861 1-PB2 H3N2 S 12 0.0210624260887666
2009 2009.356 1-PB2 H3N2 S 17 0.029838436959086
2009 2009.318 1-PB2 H3N2 S 18 0.0315936391331498
2009 2009.323 1-PB2 H3N2 S 16 0.0280832347850221
2009 2009 1-PB2 H3N2 S 16 0.0280832347850221
2009 2009.318 1-PB2 H3N2 S 15 0.0263280326109582
2009 2009 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.32 1-PB2 H3N2 S 18 0.0315936391331498
2009 2009.32 1-PB2 H3N2 S 19 0.0333488413072137
2009 2009.318 1-PB2 H3N2 S 16 0.0280832347850221
2009 2009.162 1-PB2 H3N2 S 17 0.029838436959086
2009 2009.362 1-PB2 H3N2 S 14 0.0245728304368943
2009 2009.173 1-PB2 H3N2 S 14 0.0245728304368943
2009 2009.334 1-PB2 H3N2 S 13 0.0228176282628304
2009 2008.937 1-PB2 H3N2 S 7 0.0122864152184472
2009 2008.973 1-PB2 H3N2 S 10 0.0175520217406388
2009 2009.381 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.389 1-PB2 H3N2 S 17 0.029838436959086
2009 2009.32 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.337 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.471 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.326 1-PB2 H3N2 S 17 0.029838436959086
2009 2009.334 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.318 1-PB2 H3N2 S 15 0.0263280326109582
2009 2009.085 1-PB2 H3N2 S 11 0.0193072239147027
2009 2009.323 1-PB2 H3N2 S 11 0.0193072239147027
2009 2009.482 1-PB2 H3N2 S 16 0.0280832347850221
2009 2009.326 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009.482 1-PB2 H3N2 S 14 0.0245728304368943
2009 2009.419 1-PB2 H3N2 S 17 0.029838436959086
2009 2008.8 1-PB2 H3N2 S 7 0.0122864152184472
2009 2009.444 1-PB2 H3N2 S 13 0.0228176282628304
2009 2009 1-PB2 H3N2 S 17 0.029838436959086
2009 2008.943 1-PB2 H3N2 S 7 0.0122864152184472
2009 2009.329 1-PB2 H3N2 S 15 0.0263280326109582
2009 2008.781 1-PB2 H3N2 S 10 0.0175520217406388
2010 2009.551 1-PB2 H3N2 S 16 0.0280832347850221
2010 2010.419 1-PB2 H3N2 S 18 0.0315936391331498
2010 2009.52 1-PB2 H3N2 S 15 0.0263280326109582
2010 2009.586 1-PB2 H3N2 S 18 0.0315936391331498
2010 2010.268 1-PB2 H3N2 S 15 0.0263280326109582
2010 2009.608 1-PB2 H3N2 S 16 0.0280832347850221
2010 2010.441 1-PB2 H3N2 S 18 0.0315936391331498
2010 2010.416 1-PB2 H3N2 S 18 0.0315936391331498
2010 2009.504 1-PB2 H3N2 S 17 0.029838436959086
2010 2010.43 1-PB2 H3N2 S 18 0.0315936391331498
2010 2010.386 1-PB2 H3N2 S 18 0.0315936391331498
2010 2010.425 1-PB2 H3N2 S 18 0.0315936391331498
2010 2010.422 1-PB2 H3N2 S 18 0.0315936391331498
2010 2009.592 1-PB2 H3N2 S 15 0.0263280326109582
2010 2010.025 1-PB2 H3N2 S 12 0.0210624260887666
2010 2010.433 1-PB2 H3N2 S 18 0.0315936391331498
2010 2009.567 1-PB2 H3N2 S 15 0.0263280326109582
2010 2010.367 1-PB2 H3N2 S 21 0.0368592456553415
2010 2009.94 1-PB2 H3N2 S 20 0.0351040434812776
2010 2009.578 1-PB2 H3N2 S 18 0.0315936391331498
2010 2010.403 1-PB2 H3N2 S 19 0.0333488413072137
2010 2010.381 1-PB2 H3N2 S 26 0.0456352565256609
2010 2009.575 1-PB2 H3N2 S 14 0.0245728304368943
2010 2009.542 1-PB2 H3N2 S 16 0.0280832347850221
2010 2010.227 1-PB2 H3N2 S 15 0.0263280326109582
2010 2010.449 1-PB2 H3N2 S 19 0.0333488413072137
2010 2010.419 1-PB2 H3N2 S 18 0.0315936391331498
2010 2009.531 1-PB2 H3N2 S 15 0.0263280326109582
2010 2010.359 1-PB2 H3N2 S 16 0.0280832347850221
2010 2009.583 1-PB2 H3N2 S 14 0.0245728304368943
2010 2010.301 1-PB2 H3N2 S 22 0.0386144478294054
2010 2010.381 1-PB2 H3N2 S 26 0.0456352565256609
2010 2010.468 1-PB2 H3N2 S 17 0.029838436959086
2010 2009.572 1-PB2 H3N2 S 17 0.029838436959086
2010 2010.499 1-PB2 H3N2 S 25 0.043880054351597
2010 2009.578 1-PB2 H3N2 S 14 0.0245728304368943
2010 2010.43 1-PB2 H3N2 S 18 0.0315936391331498
2010 2009.512 1-PB2 H3N2 S 16 0.0280832347850221
2010 2010.427 1-PB2 H3N2 S 18 0.0315936391331498
2010 2009.575 1-PB2 H3N2 S 15 0.0263280326109582
2010 2010.427 1-PB2 H3N2 S 17 0.029838436959086
2010 2010 1-PB2 H3N2 S 19 0.0333488413072137
2010 2009.8 1-PB2 H3N2 S 18 0.0315936391331498
2010 2010.068 1-PB2 H3N2 S 17 0.029838436959086
2010 2009.551 1-PB2 H3N2 S 16 0.0280832347850221
2010 2009.844 1-PB2 H3N2 S 21 0.0368592456553415
2010 2009.54 1-PB2 H3N2 S 15 0.0263280326109582
2010 2010.427 1-PB2 H3N2 S 19 0.0333488413072137
2010 2009.551 1-PB2 H3N2 S 15 0.0263280326109582
2010 2009.534 1-PB2 H3N2 S 14 0.0245728304368943
2011 2010.816 1-PB2 H3N2 S 25 0.043880054351597
2011 2010.816 1-PB2 H3N2 S 25 0.043880054351597
2011 2010.937 1-PB2 H3N2 S 26 0.0456352565256609
2011 2010.803 1-PB2 H3N2 S 24 0.0421248521775331
2011 2011.381 1-PB2 H3N2 S 27 0.0473904586997248
2011 2010.86 1-PB2 H3N2 S 23 0.0403696500034692
2011 2010.904 1-PB2 H3N2 S 19 0.0333488413072137
2011 2010.745 1-PB2 H3N2 S 15 0.0263280326109582
2011 2010.69 1-PB2 H3N2 S 19 0.0333488413072137
2011 2010.671 1-PB2 H3N2 S 25 0.043880054351597
2011 2010.586 1-PB2 H3N2 S 24 0.0421248521775331
2011 2011.474 1-PB2 H3N2 S 16 0.0280832347850221
2011 2010.699 1-PB2 H3N2 S 20 0.0351040434812776
2011 2010.852 1-PB2 H3N2 S 24 0.0421248521775331
2011 2010.819 1-PB2 H3N2 S 24 0.0421248521775331
2011 2011.005 1-PB2 H3N2 S 16 0.0280832347850221
2011 2010.967 1-PB2 H3N2 S 25 0.043880054351597
2011 2010.967 1-PB2 H3N2 S 27 0.0473904586997248
2011 2011.334 1-PB2 H3N2 S 19 0.0333488413072137
2011 2010.775 1-PB2 H3N2 S 29 0.0509008630478525
2011 2011.101 1-PB2 H3N2 S 25 0.043880054351597
2011 2010.836 1-PB2 H3N2 S 19 0.0333488413072137
2011 2011.219 1-PB2 H3N2 S 33 0.057921671744108
2011 2011.121 1-PB2 H3N2 S 17 0.029838436959086
2011 2011.153 1-PB2 H3N2 S 17 0.029838436959086
2011 2010.608 1-PB2 H3N2 S 19 0.0333488413072137
2011 2010.794 1-PB2 H3N2 S 25 0.043880054351597
2011 2010.616 1-PB2 H3N2 S 25 0.043880054351597
2011 2011.244 1-PB2 H3N2 S 33 0.057921671744108
2011 2011.419 1-PB2 H3N2 S 16 0.0280832347850221
2011 2010.794 1-PB2 H3N2 S 19 0.0333488413072137
2011 2010.762 1-PB2 H3N2 S 19 0.0333488413072137
2011 2010.929 1-PB2 H3N2 S 19 0.0333488413072137
2011 2010.822 1-PB2 H3N2 S 24 0.0421248521775331
2011 2011.055 1-PB2 H3N2 S 23 0.0403696500034692
